Lot #,Shape,Color,Clarity,Weight,Lab,Cut Grade,Polish,Symmetry,Fluor,Rapaport Price,% Off RAP,Price/Ct,Certificate #,Length,Width,Depth,Depth %,Table %,Gridle,Culet,Description/Comments,Origin,Measurement,Certificate Image,Video Link
2000035341,ROUND,D,VVS2,0.3,IGI,Excellent,Excellent,Excellent,NONE,2800,83,476,LG444015272,4.28,4.31,2.65,61.8,60,Medium To Slightly Thick (Faceted),Pointed,MISC,LAB CREATED,4.28x4.31x2.65,https://s3.amazonaws.com/lgdcertificates/LG444015272.pdf,https://s3.amazonaws.com/lgdvideos/LG444015272.html
2000027647,ROUND,E,VVS1,0.3,IGI,Ideal,Excellent,Excellent,NONE,2800,83,476,LG464197022,4.36,4.39,2.64,60.4,58.5,Thin To Medium (Faceted),Pointed,MISC,LAB CREATED,4.36x4.39x2.64,https://s3.amazonaws.com/lgdcertificates/LG464197022.pdf,https://s3.amazonaws.com/lgdvideos/LG464197022.html
2000080169,ROUND,E,VVS1,0.3,IGI,Excellent,Excellent,Very Good,NONE,2800,83.25,469,LG464197320,4.29,4.31,2.68,62.3,58,Medium To Slightly Thick (Faceted),Pointed,MISC,LAB CREATED,4.29x4.31x2.68,https://s3.amazonaws.com/lgdcertificates/LG464197320.pdf,https://s3.amazonaws.com/lgdvideos/LG464197320.html
2000072012,ROUND,E,VVS1,0.3,IGI,Very Good,Excellent,Excellent,NONE,2800,84,448,LG468173753,4.31,4.35,2.67,61.7,60,Medium (Faceted),Pointed,MISC,LAB CREATED,4.31x4.35x2.67,https://s3.amazonaws.com/lgdcertificates/LG468173753.pdf,https://s3.amazonaws.com/lgdvideos/LG468173753.html
2000072681,ROUND,E,VVS1,0.3,IGI,Excellent,Excellent,Excellent,NONE,2800,83,476,LG468173861,4.31,4.33,2.69,62.3,58,Medium (Faceted),Pointed,MISC,LAB CREATED,4.31x4.33x2.69,https://s3.amazonaws.com/lgdcertificates/LG468173861.pdf,https://s3.amazonaws.com/lgdvideos/LG468173861.html
2000045783,ROUND,E,VVS2,0.3,IGI,Very Good,Excellent,Very Good,NONE,2600,84,416,LG442036910,4.21,4.24,2.71,64.2,57.5,Medium To Slightly Thick (Faceted),Pointed,MISC,LAB CREATED,4.21x4.24x2.71,https://s3.amazonaws.com/lgdcertificates/LG442036910.pdf,https://s3.amazonaws.com/lgdvideos/LG442036910.html
2000082019,ROUND,E,VVS2,0.3,IGI,EXCELLENT,EXCELLENT,EXCELLENT,NONE,2600,83,442,LG455007870,4.37,4.39,2.62,0,58,TN-MDFC,POINTED,MISC,LAB CREATED,4.37x4.39x2.62,https://s3.amazonaws.com/lgdcertificates/LG455007870.pdf,https://s3.amazonaws.com/lgdvideos/LG455007870.html
2000032190,ROUND,E,VVS2,0.3,IGI,Excellent,Excellent,Excellent,NONE,2600,83,442,LG464197033,4.26,4.32,2.64,61.5,59,Medium To Slightly Thick (Faceted),Pointed,MISC,LAB CREATED,4.26x4.32x2.64,https://s3.amazonaws.com/lgdcertificates/LG464197033.pdf,https://s3.amazonaws.com/lgdvideos/LG464197033.html
2000071003,ROUND,E,VVS2,0.3,IGI,Very Good,Excellent,Excellent,NONE,2600,84,416,LG468173754,4.29,4.34,2.68,62.1,58,Medium To Slightly Thick (Faceted),Pointed,MISC,LAB CREATED,4.29x4.34x2.68,https://s3.amazonaws.com/lgdcertificates/LG468173754.pdf,https://s3.amazonaws.com/lgdvideos/LG468173754.html
2000037431,ROUND,E,VVS2,0.3,IGI,Excellent,Excellent,Excellent,NONE,2600,83,442,LG468175570,4.33,4.36,2.64,60.7,59.5,Medium (Faceted),Pointed,MISC,LAB CREATED,4.33x4.36x2.64,https://s3.amazonaws.com/lgdcertificates/LG468175570.pdf,https://s3.amazonaws.com/lgdvideos/LG468175570.html
2000027633,ROUND,E,VVS2,0.3,IGI,Very Good,Very Good,Excellent,NONE,2600,84,416,LG468175571,4.29,4.31,2.59,60.2,60.5,Slightly Thick To Thick (Faceted),Pointed,MISC,LAB CREATED,4.29x4.31x2.59,https://s3.amazonaws.com/lgdcertificates/LG468175571.pdf,https://s3.amazonaws.com/lgdvideos/LG468175571.html
2000054830,ROUND,E,VVS2,0.3,IGI,Excellent,Excellent,Excellent,NONE,2600,83,442,LG468175590,4.33,4.38,2.65,61,58,Medium (Faceted),Pointed,MISC,LAB CREATED,4.33x4.38x2.65,https://s3.amazonaws.com/lgdcertificates/LG468175590.pdf,https://s3.amazonaws.com/lgdvideos/LG468175590.html
2000032300,ROUND,E,VS1,0.3,IGI,Ideal,Excellent,Excellent,NONE,2400,83,408,LG464197031,4.35,4.37,2.62,60,57.5,Thin To Medium (Faceted),Pointed,MISC,LAB CREATED,4.35x4.37x2.62,https://s3.amazonaws.com/lgdcertificates/LG464197031.pdf,https://s3.amazonaws.com/lgdvideos/LG464197031.html
2000048372,ROUND,E,VS2,0.3,IGI,Ideal,Excellent,Excellent,NONE,2300,83,391,LG455007377,4.28,4.33,2.67,62.1,57,Medium To Slightly Thick (Faceted),Pointed,MISC,LAB CREATED,4.28x4.33x2.67,https://s3.amazonaws.com/lgdcertificates/LG455007377.pdf,https://s3.amazonaws.com/lgdvideos/LG455007377.html
2000012123,ROUND,E,VS2,0.3,IGI,Ideal,Excellent,Excellent,NONE,2300,83,391,LG464197023,4.31,4.38,2.66,61.5,56.5,Thin To Medium (Faceted),Pointed,MISC,LAB CREATED,4.31x4.38x2.66,https://s3.amazonaws.com/lgdcertificates/LG464197023.pdf,https://s3.amazonaws.com/lgdvideos/LG464197023.html
2000025377,ROUND,E,VS2,0.3,IGI,Ideal,Excellent,Excellent,NONE,2300,83,391,LG464197024,4.36,4.39,2.6,59.4,58,Thin To Medium (Faceted),Pointed,MISC,LAB CREATED,4.36x4.39x2.6,https://s3.amazonaws.com/lgdcertificates/LG464197024.pdf,https://s3.amazonaws.com/lgdvideos/LG464197024.html
2000025373,ROUND,E,VS2,0.3,IGI,Excellent,Excellent,Excellent,NONE,2300,83,391,LG464197025,4.24,4.27,2.68,63,54.5,Medium To Slightly Thick (Faceted),Pointed,MISC,LAB CREATED,4.24x4.27x2.68,https://s3.amazonaws.com/lgdcertificates/LG464197025.pdf,https://s3.amazonaws.com/lgdvideos/LG464197025.html
2000025374,ROUND,E,VS2,0.3,IGI,Ideal,Excellent,Excellent,NONE,2300,83,391,LG464197026,4.3,4.31,2.66,61.7,56.5,Medium (Faceted),Pointed,MISC,LAB CREATED,4.3x4.31x2.66,https://s3.amazonaws.com/lgdcertificates/LG464197026.pdf,https://s3.amazonaws.com/lgdvideos/LG464197026.html
2000070973,ROUND,E,VS2,0.3,IGI,Ideal,Excellent,Excellent,NONE,2300,83,391,LG468173761,4.33,4.35,2.65,61,59,Medium (Faceted),Pointed,MISC,LAB CREATED,4.33x4.35x2.65,https://s3.amazonaws.com/lgdcertificates/LG468173761.pdf,https://s3.amazonaws.com/lgdvideos/LG468173761.html
2000070935,ROUND,E,VS2,0.3,IGI,Ideal,Excellent,Excellent,NONE,2300,83,391,LG468173763,4.33,4.36,2.68,61.8,58.5,Medium (Faceted),Pointed,MISC,LAB CREATED,4.33x4.36x2.68,https://s3.amazonaws.com/lgdcertificates/LG468173763.pdf,https://s3.amazonaws.com/lgdvideos/LG468173763.html
2000071084,ROUND,E,VS2,0.3,IGI,Excellent,Excellent,Excellent,NONE,2300,83,391,LG468173765,4.29,4.32,2.7,62.6,57,Medium To Slightly Thick (Faceted),Pointed,MISC,LAB CREATED,4.29x4.32x2.7,https://s3.amazonaws.com/lgdcertificates/LG468173765.pdf,https://s3.amazonaws.com/lgdvideos/LG468173765.html
